,GOROD_RU,GOROD_EN,REGION1_RU,REGION1_EN,REGION2_RU,REGION2_EN,COUNTRY,ZIP_CODE,POPULATION_GROUP1,POPULATION_GROUP2,POPULATION_GROUP3
3379,Каражары,Karazhary,Атбасарский РУПС,Atbasar district,Акмолинская область,Akmola,Казахстан (KZ),020406,Село_не_адм_центр,Village,Village
3380,Усть-Каменогорск,Ust-Kamenogorsk,ВКО ОФ,VKO region,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070018,Город_уровня_2,Medium_city,Small_city
3381,Караганда,Karaganda,Карагандинский ОФ,Karagandy region,Карагандинская область,Karagandy,Казахстан (KZ),100027,Город_уровня_2,Medium_city,Small_city
3382,Акбулак,Akbulak,Наурзумский РУПС,Nauyrzym district,Костанайская область,Kostanay,Казахстан (KZ),111401,Село_не_адм_центр,Village,Village
3383,Абай,Abai,Сарыагашский РУПС,Saryagash district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160929,Село_не_адм_центр,Village,Village
3384,Костанай,Kostanai,Костанайский ОФ,Kostanay region,Костанайская область,Kostanay,Казахстан (KZ),110003,Город_уровня_2,Medium_city,Small_city
3385,Каскелен,Kaskelen,Карасайский РУПС,Karasay district,Алматинская область,Almaty region,Казахстан (KZ),040904,Город_уровня_4,Small_city,Small_city
3386,Астана,Astana,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),010012,Город_значения_РК,Big_city,Big_city
3387,Приишимка,Priishimka,Астраханский РУПС,Astrakhan district,Акмолинская область,Akmola,Казахстан (KZ),020322,Село_не_адм_центр,Village,Village
3388,Актюбинск,Aktyubinsk,Актюбинский ОФ,Aktobe region,Актюбинская область,Aktobe,Казахстан (KZ),030010,Город_уровня_2,Medium_city,Small_city
3389,Кордай,Kordai,Кордайский РУПС,Korday district,Жамбылская область,Zhambyl,Казахстан (KZ),080403,Село_адм_центр,Village,Village
3390,Костанай,Kostanai,Костанайский ОФ,Kostanay region,Костанайская область,Kostanay,Казахстан (KZ),110007,Город_уровня_2,Medium_city,Small_city
3391,Бирлик,Birlik,Шуский РУПС,Shu district,Жамбылская область,Zhambyl,Казахстан (KZ),081123,Село_не_адм_центр,Village,Village
3392,Усть-Каменогорск,Ust-Kamenogorsk,ВКО ОФ,VKO region,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070017,Город_уровня_2,Medium_city,Small_city
3393,Кызылорда,Kyzylorda,Кызылординский ОФ,Kyzylorda region,Кызылординская область,Kyzylorda,Казахстан (KZ),120017,Город_уровня_2,Medium_city,Small_city
3394,Карабулак,Karabulak,Ескельдинский РУПС,Eskeldi district,Алматинская область,Almaty region,Казахстан (KZ),040502,Село_адм_центр,Village,Village
3395,Семипалатинск,Semipalatinsk,Семипалатинский РУПС,Semipalatinsk district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),071416,Город_уровня_3,Small_city,Small_city
3396,Алматы,Almaty,Алматинский почтамт,Almaty city,город Алматы,Almaty city,Казахстан (KZ),050015,Город_значения_РК,Big_city,Big_city
3397,Тайынша,Taiynsha,Тайыншинский РУПС,Taiynsha district,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),151001,Город_уровня_4,Small_city,Small_city
3398,Караганда,Karaganda,Карагандинский ОФ,Karagandy region,Карагандинская область,Karagandy,Казахстан (KZ),100013,Город_уровня_2,Medium_city,Small_city
3399,Костанай,Kostanai,Костанайский ОФ,Kostanay region,Костанайская область,Kostanay,Казахстан (KZ),110006,Город_уровня_2,Medium_city,Small_city
3400,Кызылорда,Kyzylorda,Кызылординский ОФ,Kyzylorda region,Кызылординская область,Kyzylorda,Казахстан (KZ),120003,Город_уровня_2,Medium_city,Small_city
3401,Усть-Каменогорск,Ust-Kamenogorsk,ВКО ОФ,VKO region,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070014,Город_уровня_2,Medium_city,Small_city
3402,Костанай,Kostanai,Костанайский ОФ,Kostanay region,Костанайская область,Kostanay,Казахстан (KZ),110004,Город_уровня_2,Medium_city,Small_city
3403,Есик,Esik,Енбекшиказахский РУПС,Enbekshikazakh district,Алматинская область,Almaty region,Казахстан (KZ),040402,Город_уровня_4,Small_city,Small_city
3404,Усть-Каменогорск,Ust-Kamenogorsk,ВКО ОФ,VKO region,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070008,Город_уровня_2,Medium_city,Small_city
3405,Рудный,Rudny,Рудненский ГУПС,Rudnensky region,Костанайская область,Kostanay,Казахстан (KZ),111502,Город_уровня_3,Small_city,Small_city
3406,Рудный,Rudny,Рудненский ГУПС,Rudnensky region,Костанайская область,Kostanay,Казахстан (KZ),111503,Город_уровня_3,Small_city,Small_city
3407,Акжар,Akzhar,Сарыагашский РУПС,Saryagash district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160924,Село_не_адм_центр,Village,Village
3408,Семипалатинск,Semipalatinsk,Семипалатинский РУПС,Semipalatinsk district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),071406,Город_уровня_3,Small_city,Small_city
3409,Баягыз,Bayagyz,Жаксынский РУПС,Zhaksy district,Акмолинская область,Akmola,Казахстан (KZ),021002,Село_не_адм_центр,Village,Village
3410,Щучинск,Shchuchinsk,Щучинский РУПС,Shuchinsk district,Акмолинская область,Akmola,Казахстан (KZ),021701,Город_уровня_4,Small_city,Small_city
3411,Тараз,Taraz,Жамбылский ОФ,Zhambyl region,Жамбылская область,Zhambyl,Казахстан (KZ),080018,Город_уровня_2,Medium_city,Small_city
3412,Чистополье,Chistopole,Мусрепова РУПC (Целинный),Musrepova region,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),150438,Село_не_адм_центр,Village,Village
3413,Шымкент,Shymkent,ЮКО ОФ,Yuko region,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160014,Город_значения_РК,Big_city,Big_city
3414,Шалкар,Shalkar,Шалкарский РУПС,Shalkar district,Актюбинская область,Aktobe,Казахстан (KZ),031202,Город_уровня_4,Small_city,Small_city
3415,Талдыкорган,Taldykorgan,Алматинский ОФ,Almaty region,Алматинская область,Almaty region,Казахстан (KZ),040009,Город_уровня_2,Medium_city,Small_city
3416,Семипалатинск,Semipalatinsk,Семипалатинский РУПС,Semipalatinsk district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),071405,Город_уровня_3,Small_city,Small_city
3417,Кордай,Kordai,Кордайский РУПС,Korday district,Жамбылская область,Zhambyl,Казахстан (KZ),080402,Село_адм_центр,Village,Village
3418,Атбасар,Atbasar,Атбасарский РУПС,Atbasar district,Акмолинская область,Akmola,Казахстан (KZ),020402,Город_уровня_4,Small_city,Small_city
3419,Петропавловск,Petropavlovsk,СКО ОФ,SKO region,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),150009,Город_уровня_2,Medium_city,Small_city
3420,Момынай,Momynai,Толебийский РУПС,Tole Bi district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),161116,Село_не_адм_центр,Village,Village
3421,Ушарал,Usharal,Алакольский район,Alakol district,Алматинская область,Almaty region,Казахстан (KZ),040201,Город_уровня_4,Small_city,Small_city
3422,Усть-Каменогорск,Ust-Kamenogorsk,ВКО ОФ,VKO region,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070006,Город_уровня_2,Medium_city,Small_city
3423,Булакты,Bulakty,Астраханский РУПС,Astrakhan district,Акмолинская область,Akmola,Казахстан (KZ),020303,Село_не_адм_центр,Village,Village
3424,Чебендовка,Chebendovka,Денисовский РУПС,Denisov district,Костанайская область,Kostanay,Казахстан (KZ),110519,Село_не_адм_центр,Village,Village
3425,Акжол,Akzhol,Сарыагашский РУПС,Saryagash district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160930,Село_не_адм_центр,Village,Village
3426,Щучинск,Shchuchinsk,Щучинский РУПС,Shuchinsk district,Акмолинская область,Akmola,Казахстан (KZ),021704,Город_уровня_4,Small_city,Small_city
3427,Аша,Asha,Шуский РУПС,Shu district,Жамбылская область,Zhambyl,Казахстан (KZ),081104,Село_не_адм_центр,Village,Village
3428,Тавриченка,Tavrichenka,Денисовский РУПС,Denisov district,Костанайская область,Kostanay,Казахстан (KZ),110517,Село_не_адм_центр,Village,Village
